,Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
5963,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0310037X,COLLEGE CLEMENCE ISAURE,31555,TOULOUSE,public,96.4
5964,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0310083X,COLLEGE DIDIER DAURAT,31483,SAINT GAUDENS,public,98.7
5965,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0310086A,COLLEGE GEORGE SAND,31555,TOULOUSE,public,69.0
5966,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0310092G,COLLEGE BELLEVUE,31555,TOULOUSE,public,116.8
5967,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0310093H,COLLEGE MARCELIN BERTHELOT,31555,TOULOUSE,public,91.4
5968,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0311093V,COLLEGE MONTESQUIEU,31157,CUGNAUX,public,109.5
5969,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0311176K,COLLEGE PRIVE DE LA SALLE,31417,PIBRAC,privé sous contrat,137.3
5970,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0311238C,COLLEGE JEAN JAURES,31149,COLOMIERS,public,96.6
5971,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0311332E,COLLEGE ANATOLE FRANCE,31555,TOULOUSE,public,105.6
5972,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0311338L,COLLEGE EMILE ZOLA,31555,TOULOUSE,public,109.2
5973,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0311584D,COLLEGE MARENGO,31555,TOULOUSE,public,108.7
5974,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0311634H,COLLEGE JULES FERRY,31582,VILLEFRANCHE DE LAURAGAIS,public,120.5
5975,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0311689T,COLLEGE ALBERT CAMUS,31584,VILLEMUR SUR TARN,public,105.5
5976,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0311769E,COLLEGE GRAND SELVE,31232,GRENADE,public,109.1
5977,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0311772H,COLLEGE LEO FERRE,31499,SAINT LYS,public,113.1
5978,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0311915N,COLLEGE PABLO PICASSO,31203,FROUZINS,public,118.6
5979,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0312284P,COLLEGE PRIVE OHR TORAH,31555,TOULOUSE,privé sous contrat,121.1
5980,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0312338Y,COLLEGE CANTELAUZE,31187,FONSORBES,public,117.8
5981,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0312799Z,COLLEGE ADRIENNE BOLLAND,31066,BESSIERES,public,116.6
5982,2021-2022,TOULOUSE,031,HAUTE-GARONNE,0313045S,COLLEGE DE CINTEGABELLE,31145,CINTEGABELLE,public,105.4
5983,2021-2022,TOULOUSE,032,GERS,0320001C,COLLEGE VERT,32001,AIGNAN,public,98.3
5984,2021-2022,TOULOUSE,032,GERS,0320012P,COLLEGE HUBERT REEVES,32132,FLEURANCE,public,99.7
5985,2021-2022,TOULOUSE,032,GERS,0320021Z,COLLEGE DU FEZENSAGUET,32249,MAUVEZIN,public,118.3
5986,2021-2022,TOULOUSE,032,GERS,0320033M,COLLEGE GABRIEL SEAILLES,32462,VIC FEZENSAC,public,109.3
5987,2021-2022,TOULOUSE,032,GERS,0320052H,COLLEGE PRIVE SAINT TAURIN,32119,EAUZE,privé sous contrat,104.8
5988,2021-2022,TOULOUSE,032,GERS,0320650H,COLLEGE PRIVE ORATOIRE SAINTE MARIE,32013,AUCH,privé sous contrat,119.2
6177,2021-2022,TOULOUSE,046,LOT,0460008J,COLLEGE EMILE VAYSSE,46063,CASTELNAU MONTRATIER SAINTE ALAUZIE,public,112.8
6178,2021-2022,TOULOUSE,046,LOT,0460030H,COLLEGE DU PUY D ISSOLUD,46330,VAYRAC,public,97.9
6179,2021-2022,TOULOUSE,046,LOT,0460573Y,COLLEGE D ORLINDE,46038,BRETENOUX,public,95.4
6447,2021-2022,TOULOUSE,065,HAUTES-PYRENEES,0650003A,COLLEGE MARECHAL FOCH,65031,ARREAU,public,111.1
6448,2021-2022,TOULOUSE,065,HAUTES-PYRENEES,0650019T,COLLEGE JEAN JAURES,65304,MAUBOURGUET,public,99.2
6449,2021-2022,TOULOUSE,065,HAUTES-PYRENEES,0650034J,COLLEGE PAUL ELUARD,65440,TARBES,public,88.7
6708,2021-2022,TOULOUSE,081,TARN,0810025M,COLLEGE LA VALLEE DU THORE,81115,LABASTIDE ROUAIROUX,public,98.3
6709,2021-2022,TOULOUSE,081,TARN,0810027P,COLLEGE DU MONTALET,81124,LACAUNE,public,91.5
6710,2021-2022,TOULOUSE,081,TARN,0810037A,COLLEGE LEON GAMBETTA,81220,RABASTENS,public,116.5
6711,2021-2022,TOULOUSE,081,TARN,0810051R,COLLEGE ARISTIDE BRUANT,81004,ALBI,public,105.4
6712,2021-2022,TOULOUSE,081,TARN,0810061B,COLLEGE JEAN MONNET,81065,CASTRES,public,84.9
6713,2021-2022,TOULOUSE,081,TARN,0810125W,COLLEGE LOUIS PASTEUR,81105,GRAULHET,public,91.8
6714,2021-2022,TOULOUSE,081,TARN,0810126X,COLLEGE JEAN LOUIS ETIENNE,81163,MAZAMET,public,86.0
6715,2021-2022,TOULOUSE,081,TARN,0810960D,COLLEGE JEAN JAURES,81065,CASTRES,public,107.2
6716,2021-2022,TOULOUSE,081,TARN,0810993P,COLLEGE ALBERT CAMUS,81099,GAILLAC,public,108.3
6717,2021-2022,TOULOUSE,081,TARN,0811197L,COLLEGE JEAN JAURES,81004,ALBI,public,95.4
6718,2021-2022,TOULOUSE,082,TARN-ET-GARONNE,0820011S,COLLEGE ANTONIN PERBOSC,82087,LAFRANCAISE,public,105.9
6719,2021-2022,TOULOUSE,082,TARN-ET-GARONNE,0820022D,COLLEGE INGRES,82121,MONTAUBAN,public,93.3
6720,2021-2022,TOULOUSE,082,TARN-ET-GARONNE,0820047F,COLLEGE PRIVE SAINT JOSEPH,82013,BEAUMONT DE LOMAGNE,privé sous contrat,99.0
6721,2021-2022,TOULOUSE,082,TARN-ET-GARONNE,0820683X,COLLEGE JEAN LACAZE,82075,GRISOLLES,public,110.9
6722,2021-2022,TOULOUSE,082,TARN-ET-GARONNE,0820684Y,COLLEGE JEAN JAURES,82121,MONTAUBAN,public,98.8
6723,2021-2022,TOULOUSE,082,TARN-ET-GARONNE,0820823Z,COLLEGE JEAN JACQUES ROUSSEAU,82079,LABASTIDE SAINT PIERRE,public,102.0
