Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
0090343Z;Ecole primaire;Ecole;Public;LE VILLAGE;;09400 NIAUX;09400;09217;Niaux;009;16;76;1;1;;;;0561057689;;;ce.0090343Z@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090217700026;20;;42.814016625786074,1.5918805701833418;SANS OBJET;Ariège;Toulouse;Occitanie;584715.3;6191530.1;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Haute Ariège et Pyrénées Cathares;42.814016625786074;1.5918805701833418;Ville;1968-12-03;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;1;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090546V;;;16125;ARIEGE
0090354L;Ecole maternelle Gabriel Fauré;Ecole;Public;14 rue Emile Gaillard;;09100 PAMIERS;09100;09225;Pamiers;009;16;76;1;0;;;;0561677401;;;ce.0090354L@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090225000047;93;;43.11450216700534,1.622959817623081;SANS OBJET;Ariège;Toulouse;Occitanie;587842.2;6224892.8;EPSG:2154;Circonscription d'inspection du 1er degré de Pamiers-Basse Ariège;43.11450216700534;1.622959817623081;Numéro de rue;1968-12-09;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0090055L;;;16125;ARIEGE
0090361U;Ecole maternelle de Lestang;Ecole;Public;Rue Sainte-Claire;;09100 PAMIERS;09100;09225;Pamiers;009;16;76;1;0;;;;0561609587;;;ce.0090361U@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090225000062;97;;43.11882160384236,1.6103904428471518;SANS OBJET;Ariège;Toulouse;Occitanie;586827.0;6225390.9;EPSG:2154;Circonscription d'inspection du 1er degré de Pamiers-Basse Ariège;43.11882160384236;1.6103904428471518;Numéro de rue;1968-12-09;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0090056M;;;16125;ARIEGE
0090377L;Ecole élémentaire;Ecole;Public;LE VILLAGE;;09460 QUERIGUT;09460;09239;Quérigut;009;16;76;1;1;;;;0468204062;;;ce.0090377L@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090239100023;10;;42.69890560969374,2.0973300645154125;SANS OBJET;Ariège;Toulouse;Occitanie;625948.5;6178123.2;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Haute Ariège et Pyrénées Cathares;42.69890560969374;2.0973300645154125;Ville;1968-12-03;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;1;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090001C;;;16125;ARIEGE
0090433X;Ecole primaire;Ecole;Public;Avenue Rhin et Danube;;09420 RIMONT;09420;09246;Rimont;009;16;76;1;1;;;;0561963332;;;ce.0090433X@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090246600023;41;;42.99517145908983,1.2814296132838257;SANS OBJET;Ariège;Toulouse;Occitanie;559740.3;6212173.2;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;42.99517145908983;1.2814296132838257;Numéro de rue;1968-12-17;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009018;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090010M;;;16125;ARIEGE
0090446L;Ecole élémentaire;Ecole;Public;2 allées des Ecoliers;;09120 ST FELIX DE RIEUTORD;09120;09258;Saint-Félix-de-Rieutord;009;16;76;0;1;;;;0561601645;;;ce.0090446L@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090258100029;49;;43.04627931799107,1.672029446919046;SANS OBJET;Ariège;Toulouse;Occitanie;591710.9;6217240.1;EPSG:2154;Circonscription d'inspection du 1er degré de Pamiers-Basse Ariège;43.04627931799107;1.672029446919046;Numéro de rue;1968-12-11;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009001;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090055L;;;16125;ARIEGE
0090448N;Ecole élémentaire St Alary;Ecole;Public;Place Jean Ibanes;;09200 ST GIRONS;09200;09261;Saint-Girons;009;16;76;0;1;;;;0561664240;;;ce.0090448N@ac-toulouse.fr;1;0;1;;;;;;;;;;;;;;;21090261500108;61;;42.98347814646867,1.145729759373149;SANS OBJET;Ariège;Toulouse;Occitanie;548636.7;6211123.9;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;42.98347814646867;1.145729759373149;Numéro de rue;1968-12-17;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090574A;;;16125;ARIEGE
0090459A;Ecole élémentaire;Ecole;Public;Route du Stade;;09000 ST JEAN DE VERGES;09000;09264;Saint-Jean-de-Verges;009;16;76;0;1;;;;0561053231;;;ce.0090459A@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090264900024;140;;43.01759574229538,1.6112896814815025;SANS OBJET;Ariège;Toulouse;Occitanie;586702.3;6214136.5;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Pays de Foix - ASH;43.01759574229538;1.6112896814815025;Numéro de rue;1968-12-02;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009010;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090478W;;;16125;ARIEGE
0090473R;Ecole maternelle;Ecole;Public;Village;;09000 ST PIERRE DE RIVIERE;09000;09273;Saint-Pierre-de-Rivière;009;16;76;1;0;;;;0561652005;;;ce.0090473R@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090273000022;51;;42.96046520781782,1.5591200372310081;SANS OBJET;Ariège;Toulouse;Occitanie;582330.6;6207861.3;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Pays de Foix - ASH;42.96046520781782;1.5591200372310081;Numéro de rue;1968-12-02;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009007;101;ECOLE MATERNELLE;99;0090478W;;;16125;ARIEGE
0090475T;Ecole élémentaire;Ecole;Public;1 RUE DE L'EGLISE;;09700 ST QUIRC;09700;09275;Saint-Quirc;009;16;76;0;1;;;;0561673920;;;ce.0090475T@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090275500029;19;;43.2761394823207,1.5019195930361098;SANS OBJET;Ariège;Toulouse;Occitanie;578325.7;6243038.9;EPSG:2154;Circonscription d'inspection du 1er degré de Pamiers-Basse Ariège;43.2761394823207;1.5019195930361098;Numéro de rue;1968-12-11;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009032;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090023B;;;16125;ARIEGE
0090487F;Ecole primaire;Ecole;Public;Avenue Aristide Bergès;;09190 LORP SENTARAILLE;09190;09289;Lorp-Sentaraille;009;16;76;1;1;;;;0561664950;;;ce.0090487F@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090289600021;141;;43.00670440879591,1.1214504909420637;SANS OBJET;Ariège;Toulouse;Occitanie;546716.6;6213752.6;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;43.00670440879591;1.1214504909420637;Numéro de rue;1969-11-24;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090574A;;;16125;ARIEGE
0090517N;Ecole primaire;Ecole;Public;42 bis avenue Foix;;09000 ST PAUL DE JARRAT;09000;09272;Saint-Paul-de-Jarrat;009;16;76;1;1;;;;0561640959;;;ce.0090517N@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090272200029;134;;42.91578424545981,1.6549005941793606;SANS OBJET;Ariège;Toulouse;Occitanie;590067.1;6202755.6;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Pays de Foix - ASH;42.91578424545981;1.6549005941793606;Numéro de rue;1970-05-22;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090478W;;;16125;ARIEGE
0090531D;Ecole primaire privée Jeanne d'Arc;Ecole;Privé;30 rue Piconnières;;09100 PAMIERS;09100;09225;Pamiers;009;16;76;1;1;;;;0561674462;;;ce.0090531D@ac-toulouse.fr;1;0;1;;;;;;;;;;;;;;;77667400400010;122;;43.11303773905333,1.6105600868262098;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ariège;Toulouse;Occitanie;586829.5;6224747.7;EPSG:2154;Circonscription d'inspection du 1er degré de Pamiers-Basse Ariège;43.11303773905333;1.6105600868262098;Numéro de rue;1971-02-01;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0090037S;;;16125;ARIEGE
0090534G;Ecole primaire privée Jean XXIII;Ecole;Privé;7 avenue de Foix;;09100 PAMIERS;09100;09225;Pamiers;009;16;76;1;1;;;;0561679229;;;ce.0090534G@ac-toulouse.fr;1;1;0;;;;;;;;;;;;;;;77667399800022;237;;43.10779908936511,1.618570551461126;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ariège;Toulouse;Occitanie;587471.7;6224153.9;EPSG:2154;Circonscription d'inspection du 1er degré de Pamiers-Basse Ariège;43.10779908936511;1.618570551461126;Numéro de rue;1971-02-01;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0090037S;;;16125;ARIEGE
0090547W;Ecole maternelle;Ecole;Public;12 chemin du Stade;;09100 LA TOUR DU CRIEU;09100;09312;La Tour-du-Crieu;009;16;76;1;0;;;;0561676525;;;ce.0090547W@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21090312600022;87;;43.102965106926234,1.6561500519841457;SANS OBJET;Ariège;Toulouse;Occitanie;590523.4;6223563.7;EPSG:2154;Circonscription d'inspection du 1er degré de Pamiers-Basse Ariège;43.102965106926234;1.6561500519841457;Numéro de rue;1973-06-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0090055L;;;16125;ARIEGE
0090627H;Ecole primaire;Ecole;Public;VILLAGE;;09400 MERCUS GARRABET;09400;09188;Mercus-Garrabet;009;16;76;1;1;;;;0534098413;;;ce.0090627H@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090188000059;91;;42.879770881501926,1.6293196093643065;SANS OBJET;Ariège;Toulouse;Occitanie;587907.1;6198787.4;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Haute Ariège et Pyrénées Cathares;42.879770881501926;1.6293196093643065;Ville;1988-09-01;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090546V;;;16125;ARIEGE
0090633P;Ecole primaire privée Saint-Maurice;Ecole;Privé;2 rue du Maréchal Joffre;;09500 MIREPOIX;09500;09194;Mirepoix;009;16;76;1;1;;;;0561681495;;;ce.0090633P@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;77666755200033;81;;43.090346293281044,1.8758004950680776;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ariège;Toulouse;Occitanie;608395.9;6221881.2;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Haute Ariège et Pyrénées Cathares;43.090346293281044;1.8758004950680776;Numéro de rue;1990-09-01;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0090037S;;;16125;ARIEGE
